               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 130,           0.0081325,            0.012319,            0.012771,             0.79516,             0.94263,               0.882,             0.86925,           0.0044189,            0.024399,            0.013409,           0.0014283,           0.0014283,           0.0014283
                 131,           0.0082784,            0.012666,            0.012305,             0.79483,             0.83846,             0.83287,             0.80919,           0.0069496,            0.035026,            0.020862,            0.001389,            0.001389,            0.001389
                 132,           0.0081563,            0.012555,            0.012586,             0.80438,             0.86066,             0.87898,             0.86085,           0.0056081,            0.030896,             0.01461,           0.0013516,           0.0013516,           0.0013516
                 133,           0.0080454,            0.012493,            0.012426,             0.83396,             0.96012,             0.89781,             0.88782,           0.0042175,            0.022444,            0.010627,            0.001316,            0.001316,            0.001316
                 134,           0.0080411,             0.01224,            0.012343,             0.83194,             0.91636,             0.91023,             0.89764,           0.0046979,            0.026593,            0.011786,           0.0012822,           0.0012822,           0.0012822
                 135,           0.0079644,            0.012224,            0.012196,             0.85645,             0.92114,             0.90556,             0.89404,           0.0044448,            0.025896,            0.010594,           0.0012503,           0.0012503,           0.0012503
                 136,           0.0076006,            0.011948,            0.012053,             0.82562,             0.93286,              0.8938,             0.88295,           0.0041514,             0.02276,            0.011875,           0.0012202,           0.0012202,           0.0012202
                 137,           0.0079755,            0.012048,             0.01232,             0.88145,             0.91934,             0.91971,             0.90953,           0.0044623,            0.023308,           0.0099424,           0.0011921,           0.0011921,           0.0011921
                 138,           0.0080693,            0.012067,            0.012357,             0.80439,             0.93869,             0.89451,             0.88409,            0.004303,             0.02481,            0.012453,           0.0011658,           0.0011658,           0.0011658
                 139,           0.0079277,            0.012273,            0.012403,             0.77272,             0.81427,             0.83952,             0.81682,           0.0087774,            0.033965,             0.02424,           0.0011414,           0.0011414,           0.0011414
                 140,           0.0077183,            0.012072,            0.012043,             0.84787,             0.92948,             0.90093,             0.89124,           0.0040339,            0.023074,            0.010857,           0.0011189,           0.0011189,           0.0011189
                 141,           0.0076413,             0.01191,            0.011583,             0.83468,             0.92917,             0.90382,             0.89104,           0.0043692,            0.023526,            0.011322,           0.0010983,           0.0010983,           0.0010983
                 142,           0.0077751,            0.011971,            0.011772,             0.84016,             0.93164,             0.89703,             0.88629,           0.0041524,            0.031584,            0.011158,           0.0010797,           0.0010797,           0.0010797
                 143,           0.0077315,            0.011746,            0.011965,             0.87908,             0.92953,             0.92524,             0.91577,           0.0041692,            0.021668,           0.0091947,            0.001063,            0.001063,            0.001063
                 144,           0.0075667,            0.011558,            0.011556,             0.86077,             0.95066,             0.91963,             0.90949,           0.0041233,            0.021672,           0.0096011,           0.0010483,           0.0010483,           0.0010483
                 145,           0.0077033,            0.012147,            0.011739,             0.85035,             0.94086,             0.90913,             0.89957,           0.0041223,             0.02359,            0.010824,           0.0010355,           0.0010355,           0.0010355
                 146,           0.0077287,            0.011953,            0.011562,             0.84297,             0.93651,             0.90062,             0.89058,           0.0041299,            0.023952,            0.010752,           0.0010247,           0.0010247,           0.0010247
                 147,           0.0077258,            0.012085,            0.011788,             0.86193,             0.93575,             0.91547,               0.906,           0.0039698,            0.022969,            0.010288,           0.0010158,           0.0010158,           0.0010158
                 148,           0.0077575,            0.012101,            0.011911,             0.83646,             0.92857,             0.90761,             0.89278,           0.0045909,            0.023323,            0.011272,           0.0010089,           0.0010089,           0.0010089
                 149,           0.0077777,             0.01202,            0.011928,             0.88252,             0.91723,             0.91276,             0.90265,            0.004066,            0.025829,           0.0096914,           0.0010039,           0.0010039,           0.0010039
