               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,           0.0047674,           0.0022143,            0.010059,             0.95419,             0.92553,              0.9801,              0.9801,           0.0013693,           0.0022606,           0.0023875,           0.0061574,           0.0061574,           0.0061574
                  70,           0.0046351,           0.0021939,           0.0098666,             0.95383,             0.92573,             0.98008,             0.98008,           0.0013672,           0.0022644,            0.002386,            0.006064,            0.006064,            0.006064
                  71,           0.0046539,           0.0022011,            0.010075,             0.95457,             0.92439,             0.97991,             0.97991,            0.001372,           0.0022702,           0.0023957,           0.0059704,           0.0059704,           0.0059704
                  72,           0.0046154,           0.0021916,            0.009902,             0.95473,               0.924,             0.98003,             0.98003,           0.0013755,           0.0022788,           0.0023828,           0.0058766,           0.0058766,           0.0058766
                  73,           0.0046198,           0.0021536,           0.0095795,              0.9536,             0.92307,             0.98002,             0.98002,           0.0013725,           0.0022853,           0.0023844,           0.0057826,           0.0057826,           0.0057826
                  74,           0.0044922,           0.0021657,            0.010004,               0.943,             0.93097,             0.97959,             0.97959,             0.00138,           0.0022885,           0.0024023,           0.0056884,           0.0056884,           0.0056884
                  75,           0.0044462,           0.0021077,           0.0096764,             0.94369,             0.93119,             0.97965,             0.97965,           0.0013875,           0.0022865,           0.0023978,           0.0055942,           0.0055942,           0.0055942
                  76,           0.0043757,           0.0021126,           0.0094014,              0.9436,             0.93101,             0.97985,             0.97985,           0.0014057,            0.002287,           0.0023773,              0.0055,              0.0055,              0.0055
                  77,             0.00439,           0.0020882,           0.0095483,             0.96788,              0.9109,             0.98021,             0.98021,           0.0014111,           0.0022914,           0.0023449,           0.0054058,           0.0054058,           0.0054058
                  78,           0.0044195,           0.0021138,           0.0097558,             0.95029,             0.92986,             0.98055,             0.98055,           0.0014221,           0.0022898,           0.0023128,           0.0053116,           0.0053116,           0.0053116
                  79,           0.0043333,           0.0020886,           0.0093723,              0.9525,             0.92689,             0.98058,             0.98058,           0.0014264,           0.0022899,           0.0023126,           0.0052174,           0.0052174,           0.0052174
                  80,             0.00426,           0.0020492,           0.0091744,             0.94604,              0.9322,             0.98041,             0.98041,           0.0014338,           0.0022896,           0.0023274,           0.0051234,           0.0051234,           0.0051234
                  81,           0.0042104,           0.0020289,           0.0091036,             0.94539,             0.93188,                0.98,                0.98,           0.0014413,           0.0022886,           0.0023609,           0.0050296,           0.0050296,           0.0050296
                  82,           0.0041913,            0.002039,           0.0092598,             0.94689,             0.93011,             0.97994,             0.97994,           0.0014427,           0.0022905,           0.0023704,            0.004936,            0.004936,            0.004936
                  83,           0.0041255,            0.002003,           0.0092911,             0.94557,             0.93325,             0.98007,             0.98007,           0.0014499,           0.0022931,           0.0023534,           0.0048426,           0.0048426,           0.0048426
                  84,           0.0040438,            0.002024,           0.0091328,             0.94788,             0.93175,             0.98042,             0.98042,           0.0014508,           0.0022961,           0.0023383,           0.0047495,           0.0047495,           0.0047495
                  85,           0.0040461,           0.0019841,            0.008893,             0.94833,             0.93401,             0.98071,             0.98071,           0.0014544,            0.002302,           0.0023166,           0.0046568,           0.0046568,           0.0046568
                  86,           0.0040302,           0.0019716,           0.0089571,             0.94781,             0.93617,             0.98114,             0.98114,           0.0014625,           0.0023061,           0.0022814,           0.0045644,           0.0045644,           0.0045644
                  87,           0.0039886,           0.0019426,           0.0088678,             0.95592,             0.92955,             0.98132,             0.98132,           0.0014712,           0.0023077,           0.0022692,           0.0044724,           0.0044724,           0.0044724
                  88,           0.0039103,           0.0019493,           0.0090062,             0.95745,             0.92824,             0.98151,             0.98151,            0.001478,           0.0023084,           0.0022563,           0.0043809,           0.0043809,           0.0043809
                  89,           0.0038801,           0.0019442,           0.0086066,             0.95793,             0.92768,             0.98164,             0.98164,           0.0014979,           0.0023075,           0.0022493,           0.0042899,           0.0042899,           0.0042899
                  90,           0.0038584,           0.0019087,           0.0086006,             0.95899,             0.92888,             0.98198,             0.98198,           0.0014998,           0.0023107,           0.0022151,           0.0041994,           0.0041994,           0.0041994
                  91,           0.0037912,           0.0019024,           0.0086569,             0.95542,              0.9324,             0.98212,             0.98212,            0.001502,            0.002315,           0.0022002,           0.0041094,           0.0041094,           0.0041094
                  92,           0.0037516,            0.001897,           0.0084555,             0.95615,             0.93641,             0.98246,             0.98246,           0.0015147,           0.0023191,           0.0021733,           0.0040201,           0.0040201,           0.0040201
                  93,           0.0036926,           0.0018823,           0.0082888,             0.95907,             0.93529,             0.98256,             0.98256,           0.0015293,           0.0023237,           0.0021673,           0.0039314,           0.0039314,           0.0039314
                  94,           0.0036687,           0.0018493,           0.0083866,             0.95565,             0.94045,             0.98273,             0.98273,            0.001536,           0.0023297,           0.0021512,           0.0038434,           0.0038434,           0.0038434
                  95,           0.0036253,            0.001856,            0.008491,             0.95399,             0.94654,             0.98305,             0.98305,           0.0015341,           0.0023298,           0.0021193,           0.0037562,           0.0037562,           0.0037562
                  96,           0.0035734,           0.0018323,             0.00838,             0.95344,             0.94687,             0.98312,             0.98312,           0.0015338,           0.0023302,            0.002109,           0.0036697,           0.0036697,           0.0036697
                  97,           0.0035312,            0.001841,           0.0083234,             0.95296,             0.94792,             0.98332,             0.98332,           0.0015295,           0.0023374,           0.0020966,            0.003584,            0.003584,            0.003584
                  98,           0.0035432,           0.0017872,           0.0081022,             0.95496,             0.94661,             0.98342,             0.98342,           0.0015391,           0.0023415,           0.0020857,           0.0034991,           0.0034991,           0.0034991
                  99,           0.0034292,           0.0017789,           0.0083142,              0.9574,             0.94433,             0.98347,             0.98347,           0.0015497,           0.0023483,           0.0020781,           0.0034152,           0.0034152,           0.0034152
                 100,           0.0033948,           0.0017934,           0.0080244,             0.95645,              0.9454,             0.98356,             0.98356,           0.0015683,           0.0023543,           0.0020657,           0.0033321,           0.0033321,           0.0033321
                 101,           0.0033996,           0.0017552,           0.0077319,             0.95549,             0.94662,             0.98359,             0.98359,           0.0015632,           0.0023573,           0.0020634,             0.00325,             0.00325,             0.00325
                 102,           0.0033253,           0.0017617,           0.0078271,             0.95297,              0.9479,             0.98359,             0.98359,           0.0015674,           0.0023616,           0.0020669,           0.0031689,           0.0031689,           0.0031689
                 103,           0.0032615,           0.0017369,           0.0078786,              0.9563,             0.94651,              0.9838,              0.9838,           0.0015689,           0.0023641,           0.0020451,           0.0030888,           0.0030888,           0.0030888
                 104,           0.0032284,           0.0017065,           0.0077135,             0.95799,             0.94479,             0.98388,             0.98388,           0.0015791,           0.0023639,           0.0020436,           0.0030097,           0.0030097,           0.0030097
                 105,            0.003172,           0.0017281,           0.0076839,             0.95784,             0.94528,             0.98392,             0.98392,           0.0015841,           0.0023675,           0.0020346,           0.0029318,           0.0029318,           0.0029318
                 106,           0.0032231,           0.0017078,            0.007664,             0.95856,              0.9447,             0.98397,             0.98397,           0.0015853,           0.0023689,            0.002027,            0.002855,            0.002855,            0.002855
                 107,           0.0030752,           0.0016873,           0.0077382,              0.9665,             0.93907,             0.98411,             0.98411,           0.0015899,           0.0023687,            0.002012,           0.0027793,           0.0027793,           0.0027793
                 108,           0.0030548,           0.0016893,           0.0075767,             0.96305,             0.94259,             0.98417,             0.98417,            0.001579,           0.0023665,           0.0020011,           0.0027048,           0.0027048,           0.0027048
